"Player Name","Team","Pos","Games","PPR","1.5 TE","Half","Std","6 Pt Pass","ADP"
"Durham Smythe","MIA","TE","17","53.5","64.5","42.4","31.3","53.5","54"
"Jaheim Bell","FA","TE","17","52.9","63.4","42.3","31.8","52.9","37"
"Jordan Mason","SF","RB","17","44.7","44.7","41.6","38.5","44.7","73"
"New ATL QB","ATL","QB","17","41.5","41.5","41.5","41.5","50.0",""
"Damien Harris","BUF","RB","17","45.0","45.0","41.5","38.0","45.0","129"
"Kimani Vidal","FA","RB","17","44.4","44.4","41.3","38.3","44.4","105"
"New TEN WR","TEN","WR","17","50.8","50.8","40.9","31.1","50.8",""
"Nick Westbrook-Ikhine","TEN","WR","17","50.1","50.1","40.6","31.1","50.1","180"
"Cole Turner","WAS","TE","17","50.8","61.5","40.1","29.4","50.8","64"
"Hayden Hurst","CAR","TE","17","50.3","60.7","39.8","29.4","50.3","58"
"Jake Bobo","SEA","WR","17","49.0","49.0","39.8","30.6","49.0","132"
"Robert Woods","HOU","WR","17","49.1","49.1","39.5","29.8","49.1","180"
"Tyler Scott","CHI","WR","17","48.5","48.5","38.7","29.0","48.5","180"
"New LAC RB","LAC","RB","17","42.8","42.8","38.4","33.9","42.8",""
"Elijah Higgins","ARI","TE","17","48.2","58.1","38.3","28.5","48.2","81"
"Skyy Moore","KC","WR","17","47.1","47.1","38.2","29.3","47.1","97"
"Colby Parkinson","SEA","TE","17","47.9","57.8","38.0","28.1","47.9","64"
"Noah Brown","HOU","WR","17","44.6","44.6","37.8","31.1","44.6","88"
"Dyami Brown","WAS","WR","17","45.5","45.5","37.5","29.4","45.5","203"
"Pierre Strong Jr.","CLE","RB","17","41.4","41.4","37.5","33.5","41.4","139"
"Matt Breida","NYG","RB","17","43.1","43.1","37.1","31.1","43.1","152"
"D'Onta Foreman","CHI","RB","17","39.6","39.6","37.0","34.4","39.6","84"
"Daniel Bellinger","NYG","TE","17","47.2","57.6","36.8","26.4","47.2","50"
"Hunter Renfrow","LVR","WR","17","46.2","46.2","36.1","26.1","46.2","132"
"Darnell Washington","PIT","TE","17","45.6","55.4","35.7","25.9","45.6","58"
"Braxton Berrios","MIA","WR","17","44.2","44.2","35.5","26.9","44.2","203"
"New NYG WR","NYG","WR","17","44.4","44.4","35.5","26.5","44.4",""
"Austin Hooper","LVR","TE","17","44.9","54.6","35.1","25.4","44.9","81"
"Craig Reynolds","DET","RB","17","36.8","36.8","33.8","30.8","36.8","152"
"New IND WR","IND","WR","17","41.0","41.0","33.4","25.9","41.0",""
"New DEN WR","DEN","WR","17","41.0","41.0","33.2","25.4","41.0",""
"Mike Strachan","CAR","WR","17","36.2","36.2","33.0","29.8","36.2","203"
"New MIN WR","MIN","WR","17","41.0","41.0","33.0","24.9","41.0",""
"Parker Washington","JAX","WR","17","41.9","41.9","32.7","23.4","41.9","128"
"New CLE WR","CLE","WR","17","41.0","41.0","32.3","23.7","41.0",""
"Foster Moreau","NO","TE","17","41.5","50.7","32.3","23.2","41.5","104"
"Jamal Agnew","JAX","WR","17","39.4","39.4","32.2","25.0","39.4","203"
"Kyle Juszczyk","SF","RB","17","39.8","39.8","32.0","24.3","39.8","75"
"Josh Oliver","MIN","TE","17","40.6","49.2","32.0","23.4","40.6","46"
"New PHI WR","PHI","WR","17","39.0","39.0","31.8","24.5","39.0",""
"New HOU RB","HOU","RB","17","32.2","32.2","31.2","30.2","32.2",""
"Jeff Wilson Jr.","MIA","RB","17","33.6","33.6","30.1","26.7","33.6","95"
"Derius Davis","LAC","WR","17","36.1","36.1","30.1","24.1","36.1","162"
"Ronnie Rivers","LAR","RB","17","31.1","31.1","30.1","29.1","31.1","77"
"Terrace Marshall Jr.","CAR","WR","17","37.7","37.7","29.7","21.7","37.7","180"
"Quez Watkins","PHI","WR","17","36.6","36.6","29.7","22.8","36.6","203"
"Will Dissly","SEA","TE","17","37.2","44.8","29.5","21.9","37.2","104"
"John Bates","WAS","TE","17","38.5","47.5","29.5","20.6","38.5","104"
"Olamide Zaccheaus","PHI","WR","17","34.7","34.7","29.3","23.9","34.7","140"
"Deven Thompkins","TB","WR","17","37.1","37.1","29.3","21.6","37.1","150"
"Parris Campbell","NYG","WR","17","37.0","37.0","28.8","20.6","37.0","203"
"Chase Edmonds","TB","RB","17","33.4","33.4","28.7","24.1","33.4","152"
"Chris Moore","TEN","WR","17","34.7","34.7","28.3","22.0","34.7","203"
"Russell Gage","TB","WR","17","36.0","36.0","28.1","20.2","36.0","180"
"Trayveon Williams","CIN","RB","17","30.1","30.1","27.9","25.7","30.1","115"
"Kyle Philips","TEN","WR","17","34.7","34.7","27.9","21.0","34.7","162"
"New CHI RB","CHI","RB","17","29.5","29.5","27.8","26.1","29.5",""
"New PIT WR","PIT","WR","17","35.1","35.1","27.7","20.3","35.1",""
"Allen Robinson II","PIT","WR","17","36.1","36.1","27.7","19.2","36.1","150"
"Johnny Mundt","MIN","TE","17","34.5","41.7","27.3","20.1","34.5","96"
"Harrison Bryant","CLE","TE","17","35.1","42.9","27.2","19.3","35.1","64"
"River Cracraft","MIA","WR","17","32.1","32.1","26.3","20.5","32.1","203"
"New LVR WR","LVR","WR","17","32.2","32.2","26.0","19.7","32.2",""
"New PIT RB","PIT","RB","17","28.6","28.6","25.8","22.9","28.6",""
"Alec Ingold","MIA","RB","17","31.8","31.8","25.5","19.2","31.8","152"
"Drew Sample","CIN","TE","17","33.1","41.0","25.1","17.2","33.1","81"
"Xavier Hutchinson","HOU","WR","17","29.8","29.8","25.0","20.2","29.8","140"
"Deuce Vaughn","DAL","RB","17","27.9","27.9","24.2","20.5","27.9","89"
"Irv Smith Jr.","CIN","TE","17","32.0","39.9","24.1","16.2","32.0","96"
"Ray-Ray McCloud III","SF","WR","17","29.4","29.4","23.6","17.8","29.4","122"
"Charlie Jones","CIN","WR","17","28.4","28.4","23.2","18.0","28.4","140"
"New ATL WR","ATL","WR","17","28.7","28.7","22.7","16.8","28.7",""
"Luke Farrell","JAX","TE","17","28.8","34.9","22.6","16.5","28.8","104"
"Michael Carter","ARI","RB","17","26.0","26.0","22.1","18.3","26.0","77"
"Isaiah Spiller","LAC","RB","17","23.9","23.9","21.6","19.4","23.9","115"
"Will Mallory","IND","TE","17","27.0","32.5","21.6","16.2","27.0","104"
