"Player","Team","Pos","Matchup","Carries","Rush YDs","Rush TDs","Targets","Receptions","Rec Yds","Rec TDs","Pass Attempts","Passing YDs","Passing TDs","Interceptions","Y/A","Sacks","Fumbles Lost","Team Total"
"Devontez Walker","BAL","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000",""
"Davis Allen","LAR","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000",""
"Patrick Ricard","BAL","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000",""
"Hunter Long","LAR","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000",""
"Allen Robinson","DET","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000",""
"Ronnie Rivers","LAR","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000",""
"Dameon Pierce","HOU","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000",""
"Steven Sims","BAL","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000",""
"Xavier Smith","LAR","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000",""
"Shane Zylstra","DET","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000",""
"Craig Reynolds","DET","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000",""
"Ainias Smith","PHI","WR","@ KC","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000","23.50"
"Cade Stover","HOU","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000",""
"Tyler Johnson","LAR","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000",""
"Justin Jefferson","MIN","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Mike Evans","TB","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Ladd McConkey","LAC","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Jordan Addison","MIN","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"George Pickens","PIT","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Courtland Sutton","DEN","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Quentin Johnston","LAC","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Jalen McMillan","TB","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Jayden Reed","GB","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Marvin Mims","DEN","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Romeo Doubs","GB","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"T.J. Hockenson","MIN","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
