season,week,posteam,full_name,targets std,ypr std,catch rate std,rec std,rec yards std,rush std,rush yards std,ypc std,rec tds std,rush tds std,Pos,ypa std,pass attempt std,completions std,pass yards std,pass td std,int std
2019,3,LV,J.J. Nelson,1.582038682,3.666753881,0.120682587,1.058181333,14.41916814,0.267753815,2.175351912,1.757619499,0.17547294,0.029963353,WR,0,0,0,0,0,0
2019,1,IND,Devin Funchess,1.523163477,3.209741328,0.117337404,1.072101512,13.24672165,0.184570005,1.440886226,1.147360821,0.188061008,0.017853414,WR,0,0,0,0,0,0
2022,18,TB,Breshad Perriman,2.018546352,3.383297009,0.11777899,1.212714073,15.10250085,0.965729096,4.519661132,1.738329552,0.179198855,0.036560329,WR,0,0,0,0,0,0
2021,18,WAS,Adam Humphries,1.626040751,2.040115163,0.103882942,1.319820005,15.28310953,0.128966675,0.976544468,0.814018212,0.253517317,0,WR,0,0,0,0,0,0
2015,17,TB,Donteea Dye,1.197525464,3.573937845,0.140132367,0.752817789,9.138762251,0.248276271,2.114605266,1.597964239,0.127207153,0.021950934,WR,0,0,0,0,0,0
2019,19,TEN,Darius Jennings,1.197525464,3.573937845,0.140132367,0.752817789,9.138762251,0.248276271,2.114605266,1.597964239,0.127207153,0.021950934,WR,0,0,0,0,0,0
2019,6,LAC,Geremy Davis,1.482098959,3.590709977,0.124256309,1.001579222,12.31740748,0.203196694,1.943892262,1.50821107,0.13935206,0.037439111,WR,0,0,0,0,0,0
2024,21,WAS,Jamison Crowder,1.502202555,3.312280686,0.137882084,1.008671611,12.16788934,0.223241066,1.767149344,1.498355845,0.166746322,0,WR,0,0,0,0,0,0
2019,4,DAL,Devin Smith,1.596516343,3.514549737,0.118743153,1.048591965,12.07065807,0.377634412,2.854902575,1.894773119,0.178523203,0.037971228,WR,0,0,0,0,0,0
2018,5,NO,Cameron Meredith,1.74187616,3.093529573,0.09376398,1.111434611,14.06305039,0.172914497,1.41785982,1.116681262,0.198632272,0.013180615,WR,0,0,0,0,0,0
2023,9,ATL,Damiere Byrd,1.523163477,3.209741328,0.117337404,1.072101512,13.24672165,0.184570005,1.440886226,1.147360821,0.188061008,0.017853414,WR,0,0,0,0,0,0
2016,17,SF,Chris Harper,1.197525464,3.573937845,0.140132367,0.752817789,9.138762251,0.248276271,2.114605266,1.597964239,0.127207153,0.021950934,WR,0,0,0,0,0,0
2016,13,LA,Bradley Marquez,1.197525464,3.573937845,0.140132367,0.752817789,9.138762251,0.248276271,2.114605266,1.597964239,0.127207153,0.021950934,WR,0,0,0,0,0,0
2022,9,BUF,Jake Kumerow,1.197525464,3.573937845,0.140132367,0.752817789,9.138762251,0.248276271,2.114605266,1.597964239,0.127207153,0.021950934,WR,0,0,0,0,0,0
2018,17,PIT,Eli Rogers,1.197525464,3.573937845,0.140132367,0.752817789,9.138762251,0.248276271,2.114605266,1.597964239,0.127207153,0.021950934,WR,0,0,0,0,0,0
2024,10,CHI,DeAndre Carter,1.523163477,3.209741328,0.117337404,1.072101512,13.24672165,0.184570005,1.440886226,1.147360821,0.188061008,0.017853414,WR,0,0,0,0,0,0
2016,17,DAL,Lucky Whitehead,1.197525464,3.573937845,0.140132367,0.752817789,9.138762251,0.248276271,2.114605266,1.597964239,0.127207153,0.021950934,WR,0,0,0,0,0,0
2017,17,DEN,Jordan Taylor,1.197525464,3.573937845,0.140132367,0.752817789,9.138762251,0.248276271,2.114605266,1.597964239,0.127207153,0.021950934,WR,0,0,0,0,0,0
2016,19,HOU,Keith Mumphery,1.724698575,3.721117006,0.129853873,1.118870352,15.27316427,0.329472655,3.335735271,2.038704811,0.192255537,0.044328529,WR,0,0,0,0,0,0
2024,8,HOU,Stefon Diggs,2.272026387,2.268268121,0.073036525,1.736540753,24.51376879,0.266800758,2.290982263,2.094203789,0.264623274,0.033411467,WR,0,0,0,0,0,0
2019,17,ATL,Justin Hardy,1.502202555,3.312280686,0.137882084,1.008671611,12.16788934,0.223241066,1.767149344,1.498355845,0.166746322,0,WR,0,0,0,0,0,0
2017,16,JAX,Jaelen Strong,1.555829555,3.596768434,0.129945165,0.986510357,12.65375022,0.244384059,1.74321265,1.43071743,0.172002822,0.022539941,WR,0,0,0,0,0,0
2024,20,BAL,Nelson Agholor,2.244699344,3.087514877,0.083390046,1.459329467,21.90872297,0.210586443,1.267001638,1.025959784,0.258213635,0.019220479,WR,0,0,0,0,0,0
2023,18,NE,DeVante Parker,2.018546352,3.383297009,0.11777899,1.212714073,15.10250085,0.965729096,4.519661132,1.738329552,0.179198855,0.036560329,WR,0,0,0,0,0,0
2022,10,NO,Kevin White,1.350630529,3.591106193,0.127954618,0.768427397,8.5180256,0.544088071,4.694539048,2.35290886,0.141422351,0.053560321,WR,0,0,0,0,0,0
2024,21,BUF,Amari Cooper,2.244699344,3.087514877,0.083390046,1.459329467,21.90872297,0.210586443,1.267001638,1.025959784,0.258213635,0.019220479,WR,0,0,0,0,0,0
2019,8,JAX,Marqise Lee,1.350630529,3.591106193,0.127954618,0.768427397,8.5180256,0.544088071,4.694539048,2.35290886,0.141422351,0.053560321,WR,0,0,0,0,0,0
